POS,Player,Runs,BF,4s,6s,Against,Venue,Match Date
996,Kevin Pietersen,66,37,7,1,PBKS,IS Bindra Stadium,02 April 2010
997,Tirumalasetti Suman,55,37,4,2,CSK,Vidarbha Cricket Association Stadium,10 April 2010
998,Shikhar Dhawan,50,37,6,0,PBKS,Brabourne Stadium,30 March 2010
999,Sourav Ganguly,50,37,6,1,PBKS,IS Bindra Stadium,27 March 2010
1000,Virat Kohli,75,37,5,3,KKR,Eden Gardens,16 May 2016
1001,Ajinkya Rahane,60,37,8,0,RCB,Maharashtra Cricket Association's International Stadium,22 April 2016
1002,Saurabh Tiwary,52,37,9,0,RCB,M. Chinnaswamy Stadium,07 May 2016
1003,Kane Williamson,50,37,7,0,RCB,Rajiv Gandhi Intl. Cricket Stadium,30 April 2016
1004,Mayank Agarwal,99,37,8,4,DC,Narendra Modi Stadium,02 May 2021
1005,Nitish Rana,80,37,9,4,SRH,Chidambaram,11 April 2021
1006,K.S Bharat,78,37,3,4,DC,Dubai International Stadium,08 October 2021
1007,Ruturaj Gaikwad,70,37,5,2,DC,Dubai International Stadium,10 October 2021
1008,Manish Pandey,61,37,2,3,KKR,Chidambaram,11 April 2021
1009,Quinton de Kock,55,37,4,3,KKR,Zayed Cricket Stadium,23 September 2021
1010,Subramaniam Badrinath,71,37,7,2,MI,Wankhede Stadium,22 April 2011
1011,JP Duminy,59,37,2,3,RCB,St George's Park,10 May 2009
1012,Ajinkya Rahane,56,37,5,2,DC,Supersport Park,21 May 2009
1013,JP Duminy,52,37,1,4,KKR,Buffalo Park,01 May 2009
1014,Rob Quiney,51,37,5,2,MI,Kingsmead,14 May 2009
1015,Virat Kohli,68,37,5,3,KKR,M. Chinnaswamy Stadium,29 April 2018
1016,Faf du Plessis,67,37,5,4,SRH,Wankhede Stadium,22 May 2018
1017,Evin Lewis,60,37,4,4,RR,Wankhede Stadium,13 May 2018
1018,Manish Pandey,57,37,3,1,PBKS,IS Bindra Stadium,19 April 2018
1019,Parthiv Patel,53,37,5,2,CSK,Maharashtra Cricket Association's International Stadium,05 May 2018
1020,Jos Buttler,51,37,7,0,PBKS,Holkar Cricket Stadium,06 May 2018
1021,Shreyas Iyer,83,37,7,5,MI,Arun Jaitley Stadium,23 April 2015
1022,Mayank Agarwal,68,37,7,2,PBKS,Maharashtra Cricket Association's International Stadium,15 April 2015
1023,Corey Anderson,50,37,5,3,RR,Narendra Modi Stadium,14 April 2015
1024,Adam Gilchrist,61,37,9,1,RR,Sawai Mansingh Stadium,09 May 2008
1025,MS Dhoni,60,37,2,4,PBKS,Chidambaram,10 May 2008
1026,Gautam Gambhir,58,37,7,1,RR,Arun Jaitley Stadium,19 April 2008
1027,Sourav Ganguly,51,37,4,2,RR,Sawai Mansingh Stadium,01 May 2008
1028,Shikhar Dhawan,68,37,8,0,DEC,Arun Jaitley Stadium,15 May 2008
1029,Subramaniam Badrinath,64,37,6,3,PBKS,Chidambaram,10 May 2008
1030,Kumar Sangakkara,64,37,7,2,KKR,Eden Gardens,25 May 2008
1031,Gautam Gambhir,63,38,7,0,PBKS,Barabati Stadium,11 May 2014
1032,Ambati Rayudu,59,38,2,4,CSK,Wankhede Stadium,10 May 2014
1033,Robin Uthappa,55,38,6,1,DC,Dubai International Stadium,19 April 2014
1034,Luke Pomersbach,79,38,10,3,MI,Wankhede Stadium,21 May 2008
1035,Lendl Simmons,71,38,9,1,PBKS,IS Bindra Stadium,03 May 2015
1036,AB de Villiers,65,38,5,2,CSK,Chidambaram,16 April 2011
1037,Mahela Jayawardena,55,38,2,2,KKR,Jawaharlal Nehru Stadium,05 May 2011
1038,Paul Valthaty,62,38,7,3,DC,HPCA Stadium,15 May 2011
1039,Brendon McCullum,100,38,7,9,SRH,Chidambaram,11 April 2015
1040,Prithvi Shaw,62,38,7,2,KKR,Arun Jaitley Stadium,27 April 2018
1041,Chris Gayle,50,38,6,2,MI,Holkar Cricket Stadium,04 May 2018
1042,Shikhar Dhawan,50,38,5,1,KKR,Rajiv Gandhi Intl. Cricket Stadium,19 May 2018
1043,Rahul Tripathi,80,38,5,3,RCB,Sawai Mansingh Stadium,19 May 2018
1044,Kane Williamson,83,38,8,2,DC,Arun Jaitley Stadium,10 May 2018
1045,Sachin Tendulkar,65,38,12,0,PBKS,Wankhede Stadium,21 May 2008
1046,David Hussey,71,38,4,4,PBKS,IS Bindra Stadium,03 May 2008
1047,Shikhar Dhawan,79,38,10,3,CSK,Maharashtra Cricket Association's International Stadium,13 May 2018
1048,Herschelle Gibbs,58,38,6,2,MI,Kingsmead,25 April 2009
1049,Kumar Sangakkara,82,38,10,2,PWI,Barabati Stadium,01 May 2012
1050,Chris Gayle,81,38,4,8,PWI,M. Chinnaswamy Stadium,17 April 2012
1051,Naman Ojha,52,38,3,3,RCB,Supersport Park,07 May 2009
1052,Kumar Sangakkara,56,38,4,1,DEC,New Wanderers Stadium,17 May 2009
1053,Rishabh Pant,53,38,2,5,RR,Arun Jaitley Stadium,04 May 2019
1054,Suryakumar Yadav,59,38,8,1,CSK,Wankhede Stadium,03 April 2019
1055,Subramaniam Badrinath,59,38,9,1,RR,De Beers Diamond Oval,09 May 2009
1056,James Franklin,79,38,6,4,PBKS,Wankhede Stadium,22 April 2012
1057,Cameron White,74,38,4,4,PWI,Barabati Stadium,01 May 2012
1058,Naman Ojha,64,38,2,5,DEC,Rajiv Gandhi Intl. Cricket Stadium,10 May 2012
1059,Michael Hussey,54,38,4,2,KKR,Chidambaram,27 May 2012
1060,Jacques Kallis,62,38,5,2,PBKS,Kingsmead,24 April 2009
1061,Ayush Badoni,54,38,4,3,GT,Wankhede Stadium,28 March 2022
1062,Anuj Rawat,66,38,2,6,MI,Maharashtra Cricket Association Stadium,09 April 2022
1063,Rohit Sharma,85,38,8,3,RPS,Maharashtra Cricket Association's International Stadium,01 May 2016
1064,Rohit Sharma,84,38,10,2,KKR,Eden Gardens,13 April 2016
1065,Venkatesh Iyer,55,38,4,3,DC,Sharjah Cricket Stadium,13 October 2021
1066,Robin Uthappa,70,38,6,2,PBKS,Eden Gardens,04 May 2016
1067,Glenn Maxwell,59,38,5,3,SRH,Chidambaram,14 April 2021
1068,Jos Buttler,59,38,8,1,RCB,Sawai Mansingh Stadium,02 April 2019
1069,Moises Henriques,52,38,6,0,GL,Rajiv Gandhi Intl. Cricket Stadium,09 April 2017
1070,Quinton de Kock,59,38,9,1,PBKS,Arun Jaitley Stadium,15 April 2016
1071,Ajinkya Rahane,70,38,4,3,SRH,Rajiv Gandhi Intl. Cricket Stadium,29 March 2019
1072,Kane Williamson,70,38,5,4,RCB,M. Chinnaswamy Stadium,04 May 2019
1073,KL Rahul,79,38,4,5,SRH,Rajiv Gandhi Intl. Cricket Stadium,29 April 2019
1074,David Warner,81,38,7,2,PBKS,Rajiv Gandhi Intl. Cricket Stadium,29 April 2019
1075,Wriddhiman Saha,56,38,6,1,MI,ACA-VDCA Stadium,13 May 2016
1076,Ajinkya Rahane,63,38,7,0,DC,Arun Jaitley Stadium,05 May 2016
1077,Rohit Sharma,62,38,4,3,RCB,Wankhede Stadium,20 April 2016
1078,Ben Stokes,103,38,7,6,GL,Maharashtra Cricket Association's International Stadium,01 May 2017
1079,Gautam Gambhir,60,38,8,0,DC,Arun Jaitley Stadium,20 April 2015
1080,Shreyas Iyer,54,38,4,3,PBKS,Arun Jaitley Stadium,01 May 2015
1081,MS Dhoni,50,38,7,1,KKR,Wankhede Stadium,26 March 2022
1082,Ruturaj Gaikwad,62,38,6,1,PBKS,Zayed Cricket Stadium,01 November 2020
1083,Dwayne Smith,79,38,4,8,DC,Arun Jaitley Stadium,05 May 2014
1084,Lendl Simmons,65,38,3,5,CSK,Wankhede Stadium,19 May 2015
1085,Dwayne Smith,62,38,6,2,RR,Eden Gardens,24 May 2013
1086,Mitchell Marsh,89,38,5,7,RR,DY Patil Stadium,11 May 2022
1087,Chris Gayle,92,38,11,5,MI,M. Chinnaswamy Stadium,04 April 2013
1088,Paul Collingwood,51,38,1,3,DEC,Arun Jaitley Stadium,18 April 2010
1089,Shikhar Dhawan,62,38,8,1,GT,DY Patil Stadium,03 May 2022
1090,Suresh Raina,52,38,4,2,DEC,Vidarbha Cricket Association Stadium,10 April 2010
1091,David Warner,52,38,5,1,PBKS,IS Bindra Stadium,15 May 2016
1092,Jacques Kallis,54,38,5,1,DC,Arun Jaitley Stadium,04 April 2010
1093,Angelo Mathews,65,38,5,4,DEC,DY Patil Stadium,12 March 2010
1094,Sanju Samson,54,38,7,1,KKR,Wankhede Stadium,02 May 2022
1095,Gurkeerat Mann Singh,65,39,8,1,SRH,M. Chinnaswamy Stadium,04 May 2019
1096,Jonny Bairstow,61,39,3,3,CSK,Rajiv Gandhi Intl. Cricket Stadium,17 April 2019
1097,Gautam Gambhir,71,39,11,0,DC,Eden Gardens,28 April 2017
1098,Venkatesh Iyer,67,39,9,1,PBKS,Dubai International Stadium,01 October 2021
1099,David Warner,57,39,3,2,CSK,Chidambaram,23 April 2019
1100,Sanju Samson,70,39,8,1,DC,Zayed Cricket Stadium,25 September 2021
1101,Jos Buttler,124,39,11,8,SRH,Arun Jaitley Stadium,02 May 2021
1102,MS Dhoni,58,39,2,3,RR,Sawai Mansingh Stadium,11 April 2019
1103,Virat Kohli,58,39,3,3,DC,Arun Jaitley Stadium,14 May 2017
1104,Ajinkya Rahane,56,39,5,1,MI,Wankhede Stadium,16 May 2017
1105,Virat Kohli,62,39,5,2,MI,M. Chinnaswamy Stadium,14 April 2017
1106,MS Dhoni,75,39,4,4,RR,Chidambaram,31 March 2019
1107,Mahela Jayawardena,55,39,8,0,MI,Arun Jaitley Stadium,27 April 2012
1108,Cameron White,77,39,9,2,CSK,Chidambaram,04 May 2012
1109,Devon Conway,85,39,8,4,SRH,Maharashtra Cricket Association Stadium,01 May 2022
1110,Yashasvi Jaiswal,59,39,8,1,CSK,Brabourne - CCI,20 May 2022
1111,Suresh Raina,50,39,5,1,KTK,Jawaharlal Nehru Stadium,18 April 2011
1112,Matthew Hayden,70,39,6,3,KKR,Chidambaram,26 April 2008
1113,Jacques Kallis,69,39,7,1,CSK,Chidambaram,27 May 2012
1114,Aiden Markram,57,39,5,2,RR,Maharashtra Cricket Association Stadium,29 March 2022
1115,Eoin Morgan,66,39,8,2,KTK,Jawaharlal Nehru Stadium,05 May 2011
1116,Ryan ten Doeschate,70,39,6,3,MI,Wankhede Stadium,25 May 2011
1117,James Hopes,54,39,7,0,RCB,Arun Jaitley Stadium,26 April 2011
1118,Shaun Marsh,61,39,8,0,MI,Wankhede Stadium,02 May 2011
1119,Shikhar Dhawan,73,39,10,1,RCB,M. Chinnaswamy Stadium,06 May 2012
1120,Virat Kohli,90,39,4,4,CSK,Dubai International Stadium,10 October 2020
1121,Quinton de Kock,53,39,3,3,PBKS,Dubai International Stadium,18 October 2020
1122,Shane Watson,50,39,6,1,KKR,Zayed Cricket Stadium,07 October 2020
1123,Virat Kohli,57,39,6,2,PBKS,M. Chinnaswamy Stadium,14 May 2013
1124,Rohit Sharma,80,39,3,6,KKR,Zayed Cricket Stadium,23 September 2020
1125,Ishan Kishan,99,39,2,9,RCB,Dubai International Stadium,28 September 2020
1126,Gautam Gambhir,53,39,6,1,SRH,Eden Gardens,14 April 2013
1127,Kumar Sangakkara,56,39,6,1,MI,IS Bindra Stadium,09 April 2010
1128,Gautam Gambhir,64,39,4,1,MI,Eden Gardens,13 April 2016
1129,Sanath Jayasuriya,52,39,6,1,RCB,New Wanderers Stadium,03 May 2009
1130,Dinesh Karthik,50,39,3,0,RCB,Saurashtra Cricket Association Stadium,24 April 2016
1131,Suryakumar Yadav,60,39,6,2,RPS,Maharashtra Cricket Association's International Stadium,24 April 2016
1132,Virat Kohli,109,39,5,8,GL,M. Chinnaswamy Stadium,14 May 2016
1133,Karun Nair,68,39,9,1,KKR,Arun Jaitley Stadium,30 April 2016
1134,AB de Villiers,56,39,5,0,SRH,Zayed Cricket Stadium,06 November 2020
1135,Shaun Marsh,63,39,11,0,MI,HPCA Stadium,18 May 2013
1136,Mandeep Singh,77,39,7,0,PWI,IS Bindra Stadium,21 April 2013
1137,Sourav Ganguly,75,39,11,2,RR,Eden Gardens,17 April 2010
1138,Gautam Gambhir,59,39,7,1,RCB,M. Chinnaswamy Stadium,11 April 2013
1139,Shane Watson,98,39,13,4,SRH,Sawai Mansingh Stadium,27 April 2013
1140,Gautam Gambhir,59,39,6,1,MI,Wankhede Stadium,28 April 2016
1141,Sourav Ganguly,88,39,9,5,DEC,Eden Gardens,01 April 2010
1142,Faf du Plessis,58,39,6,2,DC,Sharjah Cricket Stadium,17 October 2020
1143,Rohit Sharma,57,39,5,3,RCB,M. Chinnaswamy Stadium,03 May 2008
1144,Suresh Raina,54,39,5,2,SRH,Rajiv Gandhi Intl. Cricket Stadium,22 April 2018
1145,Kane Williamson,54,39,3,2,PBKS,IS Bindra Stadium,19 April 2018
1146,Chris Gayle,104,39,1,11,SRH,IS Bindra Stadium,19 April 2018
1147,Mahela Jayawardena,52,39,7,0,KKR,St George's Park,03 May 2009
1148,Jacques Kallis,69,39,5,2,MI,New Wanderers Stadium,03 May 2009
1149,Kumar Sangakkara,65,39,10,0,KTK,Jawaharlal Nehru Stadium,27 April 2011
1150,Yuvraj Singh,62,39,3,4,CSK,DY Patil Stadium,27 April 2011
1151,Suresh Raina,61,39,3,1,RR,Chidambaram,04 May 2011
1152,Shreevats Goswami,52,39,7,1,DC,M. Chinnaswamy Stadium,19 May 2008
1153,VVS Laxman,52,39,7,0,RCB,M. Chinnaswamy Stadium,03 May 2008
1154,Gautam Gambhir,69,39,5,2,DC,Arun Jaitley Stadium,07 May 2014
1155,Robin Uthappa,65,39,5,3,RR,Narendra Modi Stadium,05 May 2014
1156,Lendl Simmons,68,39,5,4,SRH,Rajiv Gandhi Intl. Cricket Stadium,12 May 2014
1157,Manoj Tiwary,61,39,5,2,RR,Narendra Modi Stadium,15 May 2014
1158,MS Dhoni,57,39,2,4,SRH,JSCA Stadium,22 May 2014
1159,Murali Vijay,52,39,7,1,SRH,Dubai International Stadium,25 April 2014
1160,JP Duminy,54,39,5,2,SRH,ACA-VDCA Stadium,18 April 2015
1161,Gautam Gambhir,57,39,7,1,MI,Eden Gardens,08 April 2015
1162,Virat Kohli,62,39,1,3,RR,Narendra Modi Stadium,24 April 2015
1163,Moises Henriques,74,39,1,5,DC,Shaheed Veer Narayan Singh International Cricket Stadium,09 May 2015
1164,Virat Kohli,82,39,6,4,MI,Wankhede Stadium,10 May 2015
1165,Saurabh Tiwary,57,39,4,2,MI,Maharashtra Cricket Association's International Stadium,01 May 2016
1166,Shikhar Dhawan,50,39,7,1,RCB,Rajiv Gandhi Intl. Cricket Stadium,20 May 2014
1167,Mayank Agarwal,52,39,6,1,PBKS,Arun Jaitley Stadium,01 May 2015
1168,Shikhar Dhawan,69,39,6,1,MI,Zayed Cricket Stadium,11 October 2020
1169,Faf du Plessis,50,40,5,1,RCB,Wankhede Stadium,25 April 2021
1170,Shikhar Dhawan,70,40,7,1,DC,Rajiv Gandhi Intl. Cricket Stadium,19 April 2017
1171,Steve Smith,59,40,5,1,MI,Sawai Mansingh Stadium,20 April 2019
1172,Brendon McCullum,56,40,7,0,DC,Arun Jaitley Stadium,07 May 2012
1173,Manish Pandey,80,40,7,3,DC,Maharashtra Cricket Association's International Stadium,24 April 2012
1174,Virat Kohli,100,40,9,4,KKR,Eden Gardens,19 April 2019
1175,Manoj Tiwary,60,40,5,3,DC,Arun Jaitley Stadium,12 May 2017
1176,Mitchell Marsh,63,40,4,3,PBKS,DY Patil Stadium,16 May 2022
1177,K L Rahul,68,40,6,1,SRH,DY Patil Stadium,04 April 2022
1178,Shaun Marsh,60,40,3,3,DEC,IS Bindra Stadium,23 May 2008
1179,AB de Villiers,54,40,1,5,KTK,Jawaharlal Nehru Stadium,09 April 2011
1180,Jacques Kallis,59,40,4,3,MI,Eden Gardens,22 May 2011
1181,Ambati Rayudu,82,40,3,8,RCB,M. Chinnaswamy Stadium,25 April 2018
1182,Ajinkya Rahane,74,40,6,2,PBKS,Narendra Modi Stadium,21 April 2015
1183,Adam Gilchrist,50,40,6,1,PBKS,IS Bindra Stadium,23 May 2008
1184,George Bailey,60,40,5,2,KKR,Maharashtra Cricket Association's International Stadium,18 April 2015
1185,Yuvraj Singh,57,40,7,2,MI,Wankhede Stadium,05 May 2015
1186,Virat Kohli,51,40,4,2,CSK,M. Chinnaswamy Stadium,22 April 2015
1187,Rohit Sharma,63,40,5,2,PBKS,Chidambaram,23 April 2021
1188,David Miller,62,40,7,2,DC,Wankhede Stadium,15 April 2021
1189,Faf Du Plessis,96,40,11,2,LSG,DY Patil Stadium,19 April 2022
1190,Rajat Patidar,58,40,4,3,RR,Narendra Modi Stadium,27 May 2022
1191,Mark Boucher,50,40,5,1,KKR,Eden Gardens,08 May 2008
1192,Jacques Kallis,54,40,6,1,DC,Arun Jaitley Stadium,30 April 2008
1193,Shikhar Dhawan,59,40,6,2,CSK,Arun Jaitley Stadium,08 May 2008
1194,Sourav Ganguly,91,40,11,5,DEC,Rajiv Gandhi Intl. Cricket Stadium,11 May 2008
1195,David Warner,58,40,3,3,DC,Dubai International Stadium,25 April 2014
1196,Michael Hussey,63,40,3,3,RCB,Chidambaram,28 May 2011
1197,David Warner,54,40,6,1,RR,Sawai Mansingh Stadium,12 April 2011
1198,Ajinkya Rahane,84,40,9,1,DC,Arun Jaitley Stadium,29 April 2012
1199,Owais Shah,52,40,4,3,CSK,Chidambaram,21 April 2012
1200,Tillakaratne Dilshan,53,40,6,1,PWI,Maharashtra Cricket Association's International Stadium,11 May 2012
1201,Nitish Rana,57,40,6,2,MI,Chidambaram,13 April 2021
1202,Shubman Gill,56,40,4,2,RR,Sharjah Cricket Stadium,07 October 2021
1203,Ambati Rayudu,55,40,5,2,DC,Dubai International Stadium,04 October 2021
1204,Virat Kohli,51,40,3,3,MI,Dubai International Stadium,26 September 2021
1205,Shubman Gill,51,40,6,0,CSK,Dubai International Stadium,15 October 2021
1206,Saurabh Tiwary,50,40,5,0,CSK,Dubai International Stadium,19 September 2021
1207,Ajinkya Rahane,61,40,7,0,PWI,Sawai Mansingh Stadium,13 May 2012
1208,Sachin Tendulkar,72,40,8,1,CSK,Brabourne Stadium,25 March 2010
1209,Murali Vijay,50,40,4,2,KKR,Chidambaram,13 April 2010
1210,David Warner,73,40,8,1,DC,Shaheed Veer Narayan Singh International Cricket Stadium,20 May 2016
1211,Rahul Dravid,65,40,6,2,DC,Arun Jaitley Stadium,06 April 2013
1212,Manish Pandey,54,40,2,3,RR,Dubai International Stadium,11 October 2020
1213,Gautam Gambhir,72,40,9,1,PBKS,IS Bindra Stadium,13 March 2010
1214,Shaun Marsh,56,40,5,1,KKR,IS Bindra Stadium,19 April 2016
1215,Virat Kohli,100,40,11,1,GL,Saurashtra Cricket Association Stadium,24 April 2016
1216,Virat Kohli,75,40,7,3,SRH,M. Chinnaswamy Stadium,12 April 2016
1217,Sanju Samson,60,40,4,2,MI,Arun Jaitley Stadium,23 April 2016
1218,Dwayne Bravo,50,40,1,2,RCB,New Wanderers Stadium,03 May 2009
1219,Shikhar Dhawan,53,40,5,0,GL,Saurashtra Cricket Association Stadium,21 April 2016
1220,Virat Kohli,54,40,6,0,DC,Shaheed Veer Narayan Singh International Cricket Stadium,22 May 2016
1221,Chris Morris,52,40,5,1,MI,Wankhede Stadium,22 April 2017
1222,Mayank Agarwal,55,40,3,3,SRH,IS Bindra Stadium,08 April 2019
1223,Chris Gayle,77,40,4,6,PBKS,M. Chinnaswamy Stadium,14 May 2013
1224,Rohit Sharma,50,40,3,2,CSK,Dubai International Stadium,25 April 2014
1225,Michael Hussey,86,40,10,2,MI,Arun Jaitley Stadium,21 May 2013
1226,Shreyas Iyer,65,40,6,2,MI,Dubai International Stadium,10 November 2020
1227,Manish Pandey,66,40,8,1,KKR,JSCA Stadium,15 May 2013
1228,Shikhar Dhawan,73,40,9,1,MI,Rajiv Gandhi Intl. Cricket Stadium,01 May 2013
1229,Robin Uthappa,54,40,8,1,RR,Sawai Mansingh Stadium,05 May 2013
1230,Rohit Sharma,70,40,8,3,PBKS,Zayed Cricket Stadium,01 October 2020
1231,Devdutt Padikkal,50,40,5,0,DC,Zayed Cricket Stadium,02 November 2020
1232,Shreyas Iyer,53,40,3,2,RR,Dubai International Stadium,14 October 2020
1233,Steve Smith,79,40,8,1,MI,Narendra Modi Stadium,14 April 2015
1234,Robin Uthappa,80,40,7,1,CSK,Eden Gardens,30 April 2015
1235,Virat Kohli,73,40,2,5,CSK,M. Chinnaswamy Stadium,24 May 2014
1236,Shikhar Dhawan,64,40,4,2,CSK,JSCA Stadium,22 May 2014
1237,David Warner,59,41,3,4,RCB,Rajiv Gandhi Intl. Cricket Stadium,20 May 2014
1238,Karun Nair,73,41,8,2,DC,Arun Jaitley Stadium,03 May 2014
1239,Aaron Finch,68,41,7,2,MI,Rajiv Gandhi Intl. Cricket Stadium,12 May 2014
1240,David Warner,65,41,1,4,MI,Dubai International Stadium,30 April 2014
1241,Rohit Sharma,65,41,7,1,DC,Arun Jaitley Stadium,23 April 2016
1242,Shakib Al Hasan,66,41,4,4,GL,Eden Gardens,08 May 2016
1243,Parthiv Patel,81,41,10,2,PBKS,IS Bindra Stadium,25 April 2016
1244,Eoin Morgan,51,41,3,2,KKR,Rajiv Gandhi Intl. Cricket Stadium,16 April 2016
1245,Adam Gilchrist,85,41,10,3,RCB,M. Chinnaswamy Stadium,14 May 2013
1246,Sachin Tendulkar,55,41,9,0,DEC,DY Patil Stadium,28 March 2010
1247,Ravi Bopara,56,41,7,1,DC,IS Bindra Stadium,13 March 2010
1248,Jacques Kallis,52,41,7,0,CSK,Chidambaram,31 March 2010
1249,Shaun Marsh,88,41,8,5,CSK,HPCA Stadium,18 April 2010
1250,Virat Kohli,72,41,7,2,RR,Zayed Cricket Stadium,03 October 2020
1251,Subramaniam Badrinath,55,41,6,0,MI,Brabourne Stadium,25 March 2010
1252,Gautam Gambhir,90,41,13,1,SRH,Rajiv Gandhi Intl. Cricket Stadium,16 April 2016
1253,KL Rahul,100,41,6,6,MI,Wankhede Stadium,10 April 2019
1254,Shikhar Dhawan,63,41,10,0,CSK,Chidambaram,25 April 2013
1255,David Warner,77,41,9,1,RR,Arun Jaitley Stadium,06 April 2013
1256,MS Dhoni,63,41,3,5,MI,Eden Gardens,26 May 2013
1257,Ruturaj Gaikwad,88,41,9,4,MI,Dubai International Stadium,19 September 2021
1258,Kane Williamson,51,41,5,1,RR,Dubai International Stadium,27 September 2021
1259,Sanju Samson,82,41,7,3,SRH,Dubai International Stadium,27 September 2021
1260,Michael Hussey,65,41,6,2,DC,Arun Jaitley Stadium,18 April 2013
1261,AB de Villiers,75,41,6,4,MI,Wankhede Stadium,15 April 2019
1262,Virat Kohli,73,41,9,1,DC,Arun Jaitley Stadium,17 May 2012
1263,Ambati Rayudu,57,41,2,3,RR,Sawai Mansingh Stadium,11 April 2019
1264,KL Rahul,55,41,3,1,CSK,Chidambaram,06 April 2019
1265,Naman Ojha,68,41,5,5,PBKS,Kingsmead,05 May 2009
1266,Robin Uthappa,67,41,6,2,PBKS,Eden Gardens,27 March 2019
1267,Brendon McCullum,81,41,10,2,MI,Wankhede Stadium,15 April 2011
1268,Suresh Raina,73,41,4,6,RCB,Wankhede Stadium,24 May 2011
1269,Shikhar Dhawan,54,41,4,1,KKR,Rajiv Gandhi Intl. Cricket Stadium,03 May 2011
1270,Brad Hodge,51,41,3,2,CSK,Chidambaram,18 May 2011
1271,James Hopes,55,41,10,0,MI,Wankhede Stadium,07 May 2011
1272,Subramaniam Badrinath,55,41,6,1,DC,Chidambaram,12 May 2011
1273,Ambati Rayudu,63,41,9,0,RCB,M. Chinnaswamy Stadium,12 April 2011
1274,Corey Anderson,55,41,4,3,KKR,Eden Gardens,08 April 2015
1275,Shreyas Iyer,57,41,5,1,PBKS,Arun Jaitley Stadium,23 April 2018
1276,Virat Kohli,92,41,7,4,MI,Wankhede Stadium,17 April 2018
1277,Lendl Simmons,51,41,6,1,SRH,Wankhede Stadium,25 April 2015
1278,David Warner,53,41,1,3,CSK,Chidambaram,11 April 2015
1279,Shikhar Dhawan,50,41,4,2,RCB,M. Chinnaswamy Stadium,13 April 2015
1280,Hardik Pandya,50,41,5,1,RCB,M. Chinnaswamy Stadium,01 May 2018
1281,Sourav Ganguly,86,41,6,6,PBKS,Eden Gardens,25 May 2008
1282,Shikhar Dhawan,52,41,8,0,RR,Arun Jaitley Stadium,19 April 2008
1283,AB de Villiers,57,41,9,1,RR,M. Chinnaswamy Stadium,29 April 2015
1284,Gautam Gambhir,58,41,7,1,RCB,Eden Gardens,11 April 2015
1285,Venkatesh Iyer,50,41,6,1,MI,Maharashtra Cricket Association Stadium,06 April 2022
1286,Ishan Kishan,51,41,5,1,KKR,DY Patil Stadium,09 May 2022
1287,Ishan Kishan,54,41,5,1,RR,DY Patil Stadium,02 April 2022
1288,David Warner,52,41,5,1,RR,DY Patil Stadium,11 May 2022
1289,Faf Du Plessis,88,41,3,7,PBKS,DY Patil Stadium,27 March 2022
1290,K L Rahul,68,41,3,4,KKR,DY Patil Stadium,18 May 2022
1291,Chris Gayle,87,41,8,4,PBKS,IS Bindra Stadium,20 April 2012
1292,Ajinkya Rahane,103,41,12,5,RCB,M. Chinnaswamy Stadium,15 April 2012
1293,Ambati Rayudu,81,41,6,4,RCB,M. Chinnaswamy Stadium,14 May 2012
1294,Rohit Sharma,73,41,4,5,DEC,ACA-VDCA Stadium,09 April 2012
1295,Travis Head,75,41,3,5,KKR,M. Chinnaswamy Stadium,07 May 2017
1296,Sanju Samson,102,41,8,5,RPS,Maharashtra Cricket Association's International Stadium,11 April 2017
1297,Kieron Pollard,70,41,3,5,RCB,M. Chinnaswamy Stadium,14 April 2017
1298,David Warner,69,41,9,0,GL,Green Park,13 May 2017
1299,Suresh Raina,68,41,7,0,KKR,Saurashtra Cricket Association Stadium,07 April 2017
1300,Mandeep Singh,52,41,4,1,KKR,M. Chinnaswamy Stadium,07 May 2017
1301,Virat Kohli,50,42,1,1,CSK,Dubai International Stadium,25 October 2020
1302,Ajinkya Rahane,67,42,4,3,KKR,Maharashtra Cricket Association's International Stadium,24 April 2016
1303,Manvinder Bisla,51,42,3,3,PBKS,Eden Gardens,26 April 2013
1304,Saurabh Tiwary,52,42,2,2,PWI,Maharashtra Cricket Association's International Stadium,02 May 2013
1305,Kane Williamson,66,42,8,0,DC,Chidambaram,25 April 2021
1306,Saurabh Tiwary,52,42,9,0,KKR,Eden Gardens,13 May 2017
1307,Suresh Raina,63,42,5,1,PWI,Maharashtra Cricket Association's International Stadium,30 April 2013
1308,Sarfaraz Khan,67,42,4,2,CSK,Chidambaram,06 April 2019
1309,Faf du Plessis,67,42,8,0,PBKS,IS Bindra Stadium,17 April 2016
1310,Shaun Marsh,57,42,6,1,MI,Brabourne Stadium,30 March 2010
1311,Jacques Kallis,89,42,8,5,PBKS,M. Chinnaswamy Stadium,16 March 2010
1312,Manoj Tiwary,59,42,7,0,RR,Sawai Mansingh Stadium,08 April 2012
1313,Chris Gayle,86,42,7,6,KKR,Eden Gardens,28 April 2012
1314,Shubman Gill,70,42,5,2,SRH,Zayed Cricket Stadium,26 September 2020
1315,Hardik Pandya,50,42,4,1,SRH,DY Patil Stadium,11 April 2022
1316,Rohit Sharma,74,42,4,5,DC,Wankhede Stadium,09 April 2013
1317,Rahul Dravid,66,42,8,1,RR,Newlands,18 April 2009
1318,David Warner,90,42,7,4,MI,Rajiv Gandhi Intl. Cricket Stadium,18 April 2016
